,age_rating,app_name,app_size,copy_right,in_app_purchases,lang,num_reviews,price,review_ratings,seller_name,version,num_lang
54,4,Jurassic Worldâ„¢: The Game,126.1,"Â© 2015-2017 Ludia Inc. Jurassic Worldâ„¢ is a trademark and copyright of Universal Studios and Amblin Entertainment, Inc. Licensed by Universal Studios Licensing LLC. All rights reserved.","VIP Membership,$9.99,RARE CARD PACK,$9.99,Limited Card Pack,$4.99","['English', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese']",68000,Adventure,4.8,Ludia,1.24.1,11
55,12,Asphalt 9: Legends,1500,Infrequent/Mild Realistic Violence,"Starter Pack 1 -- Advanced,$1.99,Car Racing Legend 3,$6.99,Starter Pack 2,$6.99","['English', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese', ' Turkish']",48800,Racing,4.8,Gameloft,1.0.1,14
56,12,Baseball Boy!,187.3,Infrequent/Mild Realistic Violence,"Remove Ads,$2.99,Diamond Pack 1,$0.99,Diamond Pack 2,$4.99",['English'],243700,Sports,4.4,Voodoo,1.7.1,1
57,4,Township,255.4,Â© 2013 Playrix,"Some Cash,$1.99,Bundles of Cash,$4.99,Envelope of Cash,$9.99","['English', ' Arabic', ' Dutch', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese', ' Turkish']",40900,Adventure,4.6,Playrix Games,5.9.0,15
58,4,Ultra Sharp,24.9,"Â© Lion Studios, LLC 2018","Pack of 10 Skips,$0.99,Remove Ads,$4.99","['English', ' Arabic', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese', ' Turkish']",2300,Action,4.6,Lion Studios,1.2,14
59,4,Gummy Drop! â€“ A Match 3 Game,163,"Â© 2018 Big Fish Games, Inc.","Big Spender,$0.99,Money Bags,$4.99,High Roller,$9.99","['English', ' Dutch', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish']",23000,Puzzle,4.5,"Big Fish Games, Inc",3.15.1,11
60,4,What's the Difference? Spot It,95.4,"Â© 2018 Candywriter, LLC","Parachute,$0.99,Glider of Lifelines,$0.99,Rowboat of Lifelines,$1.99",['English'],13300,Trivia,4.6,"Candywriter, LLC",9.1,1
61,12,Rolly Vortex,201.9,Infrequent/Mild Simulated Gambling,"Remove Ads,$2.99,Unlock The Zoo Characters,$4.99,Deer,$0.99",['English'],196700,Adventure,4.6,Voodoo,1.7.3,1
62,4,Slices,164,Â© 2017 Midnight Tea Srl,"No Ads,$2.99",['English'],18800,Action,4.5,Good Job Games,2.1.3,1
63,4,My Boo Virtual Pet & Mini Game,125.4,Â© Tapps Tecnologia da InformaÃ§Ã£o Ltda.,"pack with 3000 coins,$0.99,a pack with 10000 coins,$2.99,Pile of Coins,$1.99","['English', ' French', ' German', ' Portuguese', ' Spanish']",7400,Family,4.6,Tapps Tecnologia da InformaÃ§Ã£o Ltda.,2.1,5
