age_rating,app_name,app_size,copy_right,in_app_purchases,lang,num_reviews,price,review_ratings,seller_name,version
4+,My Singing Monsters,238.5 MB,© Big Blue Bubble,"Cup of Diamonds,$1.99,Bucket of Diamonds,$4.99,Coin Purse,$0.99","English, French, German, Italian, Portuguese, Russian, Spanish",44.1K Ratings,"
                    #16 in Music
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.8,Big Blue Bubble,Version 2.2.1
12+,Bumper.io,116.2 MB,Infrequent/Mild Mature/Suggestive Themes,"NO ADS,$2.99",English,17.6K Ratings,"
                    ,
                  ,Free,Offers In-App Purchases",4.5,Voodoo,Version 1.1.8
4+,Doodle Jump - Insanely Good!,71.6 MB,© 2018 Lima Sky LLC,"10000 coins,$3.99,1000 coins,$0.99,small gold,$0.99","English, French, German, Russian",446 Ratings,"
                    #161 in Action
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.1,Lima Sky,Version 2.75.2
4+,Toon Blast,254.4 MB,© Peak Games 2018,"Tiny Coin Pack,$1.99,Super Bundle,$12.99,Toon Bundle,$6.99","English, French, German, Italian, Japanese, Portuguese, Russian, Spanish, Turkish",595.6K Ratings,"
                    #10 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Peak Games,Version 3212
4+,Kids Doodle - Movie Kids Color & Draw,21.7 MB,© 2016 Bejoy Mobile,"No Ads,$0.99","English, French, German, Japanese, Russian, Simplified Chinese, Traditional Chinese, Turkish",2.2K Ratings,"
                    #30 in Family
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.1,Bejoy Mobile,Version 2.4.1
4+,Extreme Car Driving Simulator,198 MB,© 2017 AxesInMotion S.L.,"Casual Pack - 5500 credits,$4.99,Remove Ads,$1.99,Initial Pack - 1000 credits,$0.99",English,6.1K Ratings,"
                    #12 in Racing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.3,AxesInMotion S.L.,Version 4.17.5
4+,Magic Jigsaw Puzzles,336.6 MB,© COPYRIGHT 2010 XIMAD,"Gold Pack,$4.99,5000 coins,$4.99,1000 coins,$0.99","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Turkish",116.2K Ratings,"
                    #41 in Board
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,ZiMAD,Version 3.5.6
4+,Word Crossy - A crossword game,157 MB,© Word Crossy,"Word Crossy - Handful of Coins,$1.99,Coin pack,$7.99,A tiny pack of Coins offer,$0.99",English,110.3K Ratings,"
                    #2 in Word
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,gu yunhe,Version 2.5.6
17+,HQ - Live Trivia Game Show,144.1 MB,Gambling and Contests,"3 Extra Lives,$9.99,1 Extra Life,$3.99",English,118.9K Ratings,"
                    #7 in Trivia
                  ,
                    ,
                  ,Free,Offers In-App Purchases",3.8,Intermedia Labs,Version 1.3.15
4+,AdVenture Capitalist,626.6 MB,© 2014 Hyper Hippo Productions Ltd,"55 GoldBars,$4.99,115 Gold Bars,$9.99,20 GoldBars,$1.99",English,128.4K Ratings,"
                    #9 in Board
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Kongregate,Version 6.2.7
12+,TENKYU,133.5 MB,Infrequent/Mild Medical/Treatment Information,"NoAds,$2.99",English,55.2K Ratings,"
                    #3 in Arcade
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Voodoo,Version 3.2
4+,100 PICS Quiz,98.9 MB,100® PICS © 2017 Poptacular,"150 Coins,$0.99,Skip Word,$0.99,350 Coins,$1.99","English, French, German, Italian, Japanese, Korean, Norwegian Bokmål, Portuguese, Spanish, Swedish",7.9K Ratings,"
                    #6 in Trivia
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,Poptacular Ltd,Version 2.67
4+,Roll the Ball® - slide puzzle,216.2 MB,© 2015 BitMango All right reserved,"AD FREE,$1.99,3 Solutions,$0.99,16 Solutions,$4.99",English,10.5K Ratings,"
                    #26 in Board
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,BitMango,Version 1.7.40
4+,Cookie Jam Matching Game,203.2 MB,© Jam City,"Order of 25 coins,$0.99,Stack of 135 coins,$4.99,Jar of 275 coins,$9.99","English, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",65.8K Ratings,"
                    #116 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,"Jam City, Inc.",Version 8.0.117
4+,Chess ∙,65.3 MB,© 2018 Optime Software LLC,,English,8.7K Ratings,"
                    #33 in Board
                  ,
                    ,
                  ,Free",4.4,Optime Software LLC,Version 1.76
4+,Tetris® Blitz,141.3 MB,© 2017 Electronic Arts Inc. Tetris ® & © 1985~2016 Tetris® Holding. All Rights Reserved.,"INVERSION,$0.99,GIFTING TREE,$1.99,SMALL SPIN PACK,$1.99","English, Chinese, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish",23.5K Ratings,"
                    #193 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Electronic Arts,Version 4.4.0
4+,Candy Crush Jelly Saga,206.4 MB,© King.com Limited 2014-2016. All rights reserved.,"Hard Currency XS,$0.99,XS Gold Bar package,$0.99,Hard Currency XS,$1.99","English, Chinese, Japanese, Korean, Simplified Chinese, Traditional Chinese",10.3K Ratings,"
                    #81 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.4,King,Version 2.2.4
9+,Tomb of the Mask,149.7 MB,Infrequent/Mild Cartoon or Fantasy Violence,"Diamond Membership (1 week),$7.99,Remove ads,$0.99,Fistful of Coins,$0.99","English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish",57.3K Ratings,"
                    #1 in Arcade
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Playgendary,Version 1.5.1
17+,DoubleDown Casino Slots & More,42.4 MB,Frequent/Intense Simulated Gambling,"Ante-Up Pack,$7.99,Rookie Pack,$2.99,ALL IN Pack,$99.99","English, French, German, Italian, Portuguese, Spanish",252K Ratings,"
                    #31 in Casino
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,Double Down Interactive LLC,Version 4.5.5
12+,Fallout Shelter,1.2 GB,Infrequent/Mild Mature/Suggestive Themes,"Bundle of 5 Lunchboxes,$2.99,Lunchbox,$0.99,Bundle of 40 Lunchboxes,$9.99","French, German, Italian, Russian, Spanish",156.1K Ratings,"
                    #51 in Role Playing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.8,Bethesda,Version 1.13.12
4+,My Talking Angela,504.5 MB,© Outfit7 Limited,"Pile of Diamonds,$1.99,Bag of Diamonds,$4.99,Box of Diamonds (-70%),$5.99","English, Arabic, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",104.8K Ratings,"
                    #11 in Family
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,Outfit7 Limited,Version 3.7.1
9+,Hill Climb Racing 2,170.2 MB,Infrequent/Mild Cartoon or Fantasy Violence,"Stack of Gems,$0.99,Pile of Gems,$4.99,Cup of Gems,$1.99",English,19.5K Ratings,"
                    #24 in Racing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Fingersoft,Version 1.17.0
12+,Covet Fashion,153.3 MB,Infrequent/Mild Sexual Content and Nudity,"Handful of Diamonds,$1.99,Cluster of Diamonds,$4.99,Pile of Diamonds,$9.99","English, French, German, Italian, Portuguese, Spanish",15.2K Ratings,"
                    #41 in Role Playing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.3,Crowdstar Inc,Version 3.22.51
17+,MORTAL KOMBAT X,1.1 GB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References","Dread Flask of Warrior Souls,$19.99,Bottle of Nameless Souls,$9.99,Vial of Captured Souls,$2.99","English, Chinese, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",13.6K Ratings,"
                    #21 in Card
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.3,Warner Bros.,Version 1.18.2
4+,Need for Speed No Limits,1.5 GB,"Need for Speed™ No Limits ©2017 Electronic Arts Inc. EA, the EA logo, Need for Speed, the “N” icon and the Need for Speed logo are trademarks of Electronic Arts Inc.","Box of Gold,$1.99,Suitcase,$4.99,Box of Gold,$1.99","English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",76.2K Ratings,"
                    #10 in Racing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.8,Electronic Arts,Version 2.12.1
4+,Wheel of Fortune: Show Puzzles,325 MB,© Scopely Inc,"Scoop of Diamonds,$4.99,Pouch of Diamonds,$1.99,Bag of Diamonds,$9.99",English,104.7K Ratings,"
                    #12 in Trivia
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Scopely,Version 3.34.1
4+,Design Home,198.4 MB,"© 2016-2018 Crowdstar, Inc.","Handful of Diamonds,$1.99,Cluster of Diamonds,$4.99,Pile of Diamonds,$9.99","English, French, German, Spanish",85K Ratings,"
                    #22 in Simulation
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Crowdstar Inc,Version 1.11.01
4+,Clumsy Ninja,240.8 MB,© (2013-2017) NaturalMotion Games Ltd,"Bag of Gems,$2.99,Box of Toys 1,$2.99,Sack of Gems,$4.99","English, French, German, Italian, Spanish",90.4K Ratings,"
                    #33 in Family
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.8,NaturalMotion,Version 1.31.1
12+,Highway Rider,169.7 MB,Infrequent/Mild Realistic Violence,"1k Gas Caps,$0.99,10k Gas Caps,$4.99,100k Gas Caps,$11.99",English,2K Ratings,"
                    #29 in Racing
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.4,"Battery Acid Games, Inc.",Version 2.0.2
4+,DragonVale,189.7 MB,© 2018 Backflip Studios LLC,"Pile of Gems,$1.99,Sack of Gems,$4.99,Bag of Gems,$9.99","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Traditional Chinese",27.8K Ratings,"
                    #76 in Family
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Backflip Studios,Version 4.7
4+,ZigZag,120.3 MB,© Ketchapp,"Remove Ads,$1.99",English,25.6K Ratings,"
                    #190 in Action
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.2,Ketchapp,Version 1.2.1
4+,Word Connect ¤,160.8 MB,© Zentertain Ltd.,"Coin Pack A,$0.99,Coin Pack B,$2.99,Coin Pack C,$4.99","English, Arabic, Dutch, French, Hindi, Indonesian, Italian, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",654.2K Ratings,"
                    #7 in Word
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.8,Zentertain Ltd.,Version 2.282.0
4+,Talking Tom Gold Run,255.2 MB,© Outfit7 Limited,"Batch of dynamite,$1.99,Pile of dynamite,$4.99,Batch of dynamite,$2.99","English, Arabic, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",178.1K Ratings,"
                    #23 in Action
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Outfit7 Limited,Version 2.8.2
12+,Big Fish Casino: Slots & Games,123.6 MB,Infrequent/Mild Sexual Content and Nudity,"PREMIUM,$19.99,TYCOON,$99.99,TITAN,$9.99",English,105.5K Ratings,"
                    #22 in Casino
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,"Big Fish Games, Inc",Version 10.8.4
12+,Slotomania™ Vegas Casino Slots,206.5 MB,Frequent/Intense Simulated Gambling,"Mini Package,$1.99,Advanced Package,$4.99,Pro Package,$19.99",English,36.1K Ratings,"
                    #5 in Casino
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.2,Playtika LTD,Version 2.87.1
12+,Coin Dozer,266.2 MB,Frequent/Intense Simulated Gambling,"Plus 50 Coins,$0.99,Get 60 Coins,$0.99,Get 300 Coins,$4.99",English,21.7K Ratings,"
                    #4 in Casino
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Game Circus LLC,Version 18.6
12+,Ballz,104.6 MB,Infrequent/Mild Profanity or Crude Humor,"Remove ads,$2.99,200 Rings,$0.99,900 Rings,$2.99",English,47.5K Ratings,"
                    #53 in Action
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.4,Ketchapp,Version 1.2.1
